TIPO,CODIGO,ITEM,DESCRIPCION,UNIDAD,SIMBOLO,CANTIDAD,PREC_UNITARIO,TOTAL
I,4.3.4,75,MANTO GEOTEXTIL ,,M2,22750,34.59,786922.5
I,4.3.5,76,RELLENO PARA ESTRUCTURAS DE TIERRA ARMADA,,M3,52000,17.33,901160
I,4.3.6,77,"DRENAJE TUBOS PVC  D=4""       ",,ML,1840,133.84,246265.6
I,4.3.7,78,GEOMALLA ESTRUCTURAL UNIAXIAL 1400 MSE,,M2,86650,52.9,4583785
I,4.3.8,79,GEOMALLA ESTRUCTURAL UNIAXIAL 1600 MSE,,M2,57770,71.97,4157706.9
I,4.3.9,80,CAPA DRENANTE PARA MUROS DE CONTENCIÓN,,M3,3020,243.04,733980.8
G,5,5,OBRAS COMPLEMENTARIAS,,,,,
I,5.1,81,EXCAVACION COMUN ,,M3,163.33,35.43,5786.78
I,5.2,82,RELLENO PARA ESTRUCTURAS DE TIERRA ARMADA,,M3,130,74.12,9635.6
I,5.3,83,HORMIGON CICLOPEO,,M3,73.33,1768.05,129651.11
I,5.4,84,GAVIONES TIPO COLCHON E=0.23 M    ,,M3,56.67,963.06,54576.61
I,5.5,85,GAVION TIPO CAJON,,M3,1156.67,778.41,900363.49
I,5.6,86,MANTO GEOTEXTIL,,M2,1376.67,34.59,47619.02
I,5.7,87,CORDON CUNETA,,ML,166.67,198.85,33142.33
G,6,6,SEÑALIZACION Y SEGURIDAD VIAL,,,,,
I,6.1,88,DEFENSAS LATERALES METALICAS INCLUYE TERMINALES ,,ML,3528,736.23,2597419.44
I,6.2,89,BANDAS TRANSVERSALES VIBRATORIAS,,$US,175,81.36,14238
I,6.3,90,PINTADO DE LA SUPERFICIE DE RODADURA 0.15 M DE ANCHO,,ML,38248,14.63,559568.24
I,6.4,91,SEÑALIZACION HORIZONTAL CON SIMBOLOS Y LETRAS,,M2,1379,118.74,163742.46
I,6.5,92,PINTADO DE CORDONES SEPARADORES (380MC),,M2,1481,118.74,175853.94
I,6.6,93,SENAL PREVENTIVA CUADRANGULAR (1.00 X 1.00 M)  ,,UND,7,5005.98,35041.86
I,6.7,94,"SENAL REGLAMENTARIA TRIANGULAR ""CEDA"" 1.00 M DE LADO ",,UND,14,4721.87,66106.18
I,6.8,95,SEÑAL REGLAMENTARIA (1.00X1.45 M),,UND,14,5621.66,78703.24
I,6.9,96,SEÑAL INFORMATIVA TIPO MAPA,,M2,102,4486.35,457607.7
I,6.1,97,POSTE DE SEÑAL INFORMATIVA,,UND,56,3774.76,211386.56
I,6.11,98,PORTICO,,UND,4,32582.54,130330.16
I,6.12,99,"BARRERA DE SEGURIDAD DE Hº TIPO ""F""",,ML,3465,1339.52,4641436.8
I,6.13,100,HITO DE ARISTA (DC-2A Y DC-2B)      ,,UND,60,479.41,28764.6
I,6.14,101,HITO DE VERTIDE (CD-3),,UND,4,1953.06,7812.24
I,6.15,102,HITO DELINEADOR (DC-4),,UND,14,427.97,5991.58
I,6.16,103,SEÑAL TIPO BANDERA,,UND,4,980.81,3923.24
I,6.17,104,DELINEADORES VERTICAL DC-7A        ,,UND,32,250.14,8004.48
I,6.18,105,TACHAS REFLECTIVAS BIDIRECCIONALES     ,,UND,2905,81.78,237570.9
I,6.19,106,REMOCION DE SEÑALIZACION VERTICAL,,H-H,25,135.86,3396.5
G,7,7,PASARELAS,,,,,
I,7.1,107,EXCAVACION NO CLASIF. PARA ESTRUCT SIN AGOTAMIENTO,,M3,380,35.43,13463.4
I,7.2,108,RELLENO SELECCIONADO PARA ESTRUCTURAS,,M3,220,352.11,77464.2
I,7.3,109,"HORMIGON CLASE  ""A"" FC 21 MPA",,M3,190,2225.11,422770.9
I,7.4,110,ACERO ESTRUCTURAL FY 420 MPA,,KG,11370,17.61,200225.7
I,7.5,111,HORMIGON POBRE TIPO E FC 11 MPA,,M3,10,1425.14,14251.4
I,7.6,112,NEOPRENO SIMPLE,,DM3,60,236.78,14206.8
I,7.7,113,VIGA POSTENSADA DE PASARELA TIPO L=30.60M,,PZA,4,113433.32,453733.28
I,7.8,114,LANZAMIENTO PARAVIGA DE PASARELA POR TRAMO,,TRM,4,228885.52,915542.08
I,7.9,115,BARANDADO METALICO PARA  PASARELA,,ML,580,1191.55,691099
G,8,8,MEDIDAS AMBIENTALES,,,,,
I,8.1,116,MONITOREO DE FACTORES AMBIENTALES (GASES) ,,UND,14,677.21,9480.94
I,8.2,117,MONITOREO DE FACTORES AMBIENTALES (RUIDO)     ,,UND,70,132.45,9271.5
I,8.3,118,MONITOREO DE FACTORES AMBIENTALES (AGUA)  ,,UND,45,548.59,24686.55
I,8.4,119,REVEGETACION DE AREAS INTERVENIDAS,,HA,142,1398.4,198572.8
I,8.5,120,REFORESTACION,,PLN,5400,109.27,590058
I,8.6,121,CAPACITACION AMBIENTAL,,TLL,35,9475.08,331627.8
I,8.7,122,SEÑALIZACION AMBIENTAL,,PZA,26,3089.27,80321.02
I,8.8,123,MONITOREO ARQUEOLOGICO Y HALLAZGOS  FORTUITOS,,MES,4,32675.25,130701
I,8.9,124,SEÑALIZACION PREVENTIVA ARQUEOLOGICA,,PZA,1,3078.12,3078.12
I,8.1,125,PANEL INFORMATIVO ,,PZA,8,14272.94,114183.52
I,8.11,126,CARTILLAS INFORMATIVAS,,UND,6300,4.52,28476
I,8.12,127,CASETA DE PARADA,,UND,4,19855.77,79423.08
I,8.13,128,SEÑALIZACION AMBIENTAL DEFINITIVA ADVERTENCIA ROMBO,,PZA,18,2215.51,39879.18
I,8.14,129,TRIPTICOS INFORMATIVOS,,UND,1575,1.04,1638
I,8.15,130,TALLERES EDUCATIVOS,,TLL,3,9448.14,28344.42
G,9,9,SERVICIOS DE CAMPO PARA EL INGENIERO,,,,,
I,9.1,131,SERVICIO DE ALIMENTACION        ,,H*D,16200,49.28,798336
I,9.2,132,ALQUILER DE OFICINAS  VIVIENDAS Y OTRAS INSTALACIONES,,M2M,18990,49.49,939815.1
I,9.3,133,MANTENIMIENTO LUBRICANTES Y COMBUSTIBLE  ,,V*M,120,6360.33,763239.6
I,9.4,134,PROVISION DE CAMIONETA DOBLE TRACCION CABINA DOBLE SUPERVISION,,UND,3,303074.73,909224.19
I,9.5,135,PROVISION DE CAMIONETA DOBLE TRACCION CABINA DOBLE FISCALIZACION,,UND,1,303074.73,303074.73
I,9.6,136,LABORATORIO DE SUELOS HORMIGONES Y ASFALTOS,,GLB,1,37884.32,37884.32
G,10,10,REPOSCICION DE SERVICIOS,,,,,
I,10.1,137,REPOSICION DE SERVICIOS,,GLB,1,94710.85,94710.85
